D,m,k,h,i,Cd,U (to predict)
0.0015,2500,0.046,0.075,0.001,1.46,0.117
0.0015,2500,0.046,0.09,0.00703,1.46,0.331
0.0015,2500,0.046,0.094,0.003,1.46,0.196
0.0015,2500,0.046,0.073,0.00701,1.46,0.267
0.008,256,1.5,1.98,0.00109,0.99,0.175
0.008,256,1.5,2.19,0.00095,0.99,0.212
0.008,256,1.5,2.5,0.00065,1,0.255
0.008,256,1.5,2.33,0.00154,0.98,0.337
0.008,256,1.5,2.47,0.00143,0.99,0.368
0.008,64,1.5,2.01,0.00106,0.97,0.309
0.008,64,1.5,2.01,0.00193,0.97,0.419
0.008,64,1.5,2.2,0.00101,0.97,0.347
0.008,64,1.5,2.31,0.00187,0.96,0.499
0.008,64,1.5,2.48,0.00094,0.97,0.391
0.008,64,1.5,2.46,0.00178,0.96,0.535
0.008,256,0.9,1.51,0.00107,0.99,0.248
0.008,256,0.9,1.52,0.00204,0.97,0.355
0.008,256,0.9,1.81,0.00085,0.99,0.331
0.008,256,0.9,2.09,0.00138,0.97,0.577
0.008,256,0.9,2.48,0.00055,0.98,0.5
0.008,256,0.9,2.46,0.00149,0.97,0.808
0.008,64,0.9,1.51,0.00103,0.97,0.386
0.008,64,0.9,1.52,0.00205,0.97,0.554
0.008,64,0.9,1.81,0.00085,0.97,0.461
0.008,64,0.9,2.06,0.00164,0.97,0.764
0.008,64,0.9,2.47,0.00071,0.96,0.645
0.008,64,0.9,2.47,0.00143,0.97,0.902
0.008,256,0.45,1.02,0.00078,0.98,0.283
0.008,256,0.45,0.99,0.00164,0.97,0.441
0.008,256,0.45,1.51,0.00059,0.98,0.461
0.008,256,0.45,2.46,0.0007,0.97,0.802
0.008,256,0.45,1.99,0.00142,0.97,0.942
0.008,256,0.45,2.49,0.0009,0.97,0.961
0.008,64,0.45,1.02,0.00075,0.97,0.438
0.008,64,0.45,1.5,0.00069,0.96,0.624
0.008,64,0.45,1,0.00187,0.97,0.661
0.008,64,0.45,1.5,0.00199,0.97,1.061
0.008,64,0.45,2,0.00159,0.97,1.219
0.008,64,0.45,2.41,0.00127,0.97,1.242
0.0064,170,0.12,0.164,0.00359,1.13,0.308
0.0064,170,0.12,0.276,0.00761,1.13,0.709
0.0064,42,0.12,0.267,0.0036,1.13,0.733
0.0064,42,0.12,0.183,0.00359,1.13,0.57
0.0064,384,0.12,0.184,0.0036,1.13,0.506
0.0064,384,0.12,0.185,0.00643,1.13,0.398
0.0064,384,0.12,0.186,0.01607,1.13,0.746
0.005,5000,0.1,0.151,0.00051,3,0.03
0.005,5000,0.1,0.149,0.00098,3,0.041
0.005,5000,0.1,0.2,0.0005,3,0.055
0.005,5000,0.1,0.3,0.0005,3,0.106
0.005,5000,0.1,0.253,0.001,3,0.11
0.005,5000,0.1,0.35,0.0005,3,0.133
0.005,5000,0.1,0.259,0.003,3,0.196
0.005,5000,0.1,0.35,0.001,3,0.205
0.005,5000,0.09,0.399,0.001,3,0.229
0.005,5000,0.1,0.25,0.00491,3,0.268
0.005,5000,0.095,0.3,0.003,3,0.271
0.005,5000,0.09,0.351,0.00299,3,0.352
0.005,5000,0.085,0.382,0.003,3,0.367
0.005,5000,0.06,0.199,0.01001,3,0.395
0.005,5000,0.075,0.3,0.005,3,0.4
0.005,5000,0.06,0.349,0.00501,3,0.536
0.005,5000,0.05,0.242,0.00939,3,0.56
0.005,5000,0.055,0.383,0.00491,3,0.609
0.005,1464,0.203,0.302,0.00042,1,0.054
0.005,1464,0.203,0.247,0.00128,1,0.068
0.005,1464,0.203,0.242,0.00147,1,0.07
0.005,1464,0.203,0.375,0.00052,1,0.086
0.005,1464,0.203,0.345,0.00123,1,0.106
0.005,1464,0.203,0.521,0.0007,1,0.208
0.005,1464,0.203,0.465,0.00129,1,0.246
0.005,1464,0.203,0.431,0.00187,1,0.268
0.005,1464,0.203,0.57,0.00145,1,0.376
0.005,1464,0.203,0.528,0.00205,1,0.412
0.005,1076,0.305,0.382,0.00121,1,0.046
0.005,1076,0.305,0.52,0.00061,1,0.049
0.005,1076,0.305,0.342,0.00176,1,0.052
0.005,1076,0.305,0.324,0.0021,1,0.055
0.005,1076,0.305,0.463,0.00108,1,0.058
0.005,1076,0.305,0.751,0.00089,1,0.227
0.005,1076,0.305,0.68,0.00125,1,0.262
0.005,1076,0.305,0.619,0.0018,1,0.298
0.005,1076,0.305,0.749,0.0014,1,0.377
0.005,1076,0.305,0.692,0.00189,1,0.427
0.00024,4000,0.058,0.097,0.00073,2.75,0.085
0.00024,4000,0.06,0.11,0.0005,2.75,0.099
0.00024,4000,0.052,0.103,0.00297,2.75,0.229
0.00024,4000,0.048,0.092,0.00383,2.75,0.258
0.00062,10000,0.065,0.1,0.00122,2,0.078
0.00062,10000,0.065,0.16,0.00051,2,0.086
0.00062,10000,0.065,0.14,0.00089,2,0.092
0.00062,10000,0.065,0.11,0.00298,2,0.132
0.00062,10000,0.064,0.15,0.0012,2,0.273
0.00062,10000,0.063,0.1,0.00999,2,0.275
0.00062,10000,0.062,0.13,0.00922,2,0.333
0.00062,10000,0.061,0.11,0.01076,2,0.385
0.00024,20000,0.045,0.146,0.00247,1,0.349
0.00024,20000,0.04,0.165,0.00641,1,0.606
0.0057,254,1.64,1.99,0.00113,1.81,0.142
0.0057,254,1.58,2.5,0.00195,1.81,0.393
0.0028,12000,0.245,0.5044,0.0002,1,0.072
0.0028,12000,0.23,0.4065,0.0051,1,0.09
0.0028,12000,0.205,0.306,0.0015,1,0.119
0.0028,12000,0.19,0.4041,0.0013,1,0.225
0.0028,12000,0.155,0.3084,0.0036,1,0.295
0.0028,12000,0.16,0.407,0.002,1,0.319
0.003,512,0.295,0.4003,0.0004,1,0.091
0.003,512,0.2,0.3961,0.001,1,0.23
0.003,512,0.17,0.3942,0.0018,1,0.33
0.0064,3,0.038,0.073,0.00774,1.4,1.2
0.0064,5,0.038,0.073,0.00797,1.4,1.19
0.0064,5,0.038,0.073,0.00815,1.4,1.18
0.0064,11,0.038,0.074,0.00858,1.4,1.17
